conf, # of clusters, 1k (found), 2k (found), 4k (found), 8k (found), 16k (found), 32k (found)
1, 1, 8482.25, 10039.57, 11300.66, 11470.88, 14846.84, 19083.1
2, 2, 368281.24, 720604.96, 1275084.5, 2085047.22, 3852747.16, 8587058.23
2, 4, 217798.97, 379265.32, 670234.29, 1098551.34, 2011590.33, 3883652.88
2, 6, 155857.69, 290988.51, 454416.89, 749725.36, 1418453.38, 2609316.94
3, 1, 707575.31, 1328942.3, 2350351.05, 4223590.24, 8744345.19, 22661807.49
4, 1, 7752.14, 7784.48, 9107.66, 10695.02, 12556.37, 14417.62
5, 2, 345910.07, 651301.14, 1202757.32, 1997360.34, 3705752.73, 8357818.08
5, 4, 202898.76, 345971.39, 615068.7, 1070390.1, 1957990.86, 3651093.79
5, 6, 137904.7, 229284.09, 430586.25, 682615.13, 1298360.96, 2417160.88
6, 1, 672630.91, 1281732.51, 2159423.94, 3830969.19, 8677987.91, 21311386.06

conf, # of clusters, 1k (not found), 2k (not found), 4k (not found), 8k (not found), 16k (not found), 32k (not found)
1, 1, 1452.75, 1879.9, 2153.48, 2756.47, 2939.39, 3366.64
2, 2, 295428.86, 547136.15, 971531.63, 1720822.94, 3621560.24, 7944651.28
2, 4, 152565.14, 289491.27, 537732.71, 862339.76, 1696136.73, 3604457.86
2, 6, 106545.49, 185975.91, 360756.53, 618670.79, 1121650.35, 2326046.8
3, 1, 585353.69, 1019234.81, 2004343.05, 4149401.11, 8309627.28, 21793559.7
4, 1, 1386.98, 1705.53, 2013.89, 2224.3, 2667.03, 3320.16
5, 2, 272171.34, 516779.17, 961798.74, 1650275.05, 3360106.53, 7381267.6
5, 4, 135057.87, 251428.63, 497700.12, 784328.16, 1637604.13, 3296644.32
5, 6, 92126.74, 159122.62, 328819.95, 545580.64, 1108668.69, 2069500.06
6, 1, 542222.7, 945947.35, 1917182.58, 3516015.33, 7884914.01, 20399294.0
